"","Year","Attack_Type","attacks"
"1",1970,"Armed Assault",28
"2",1970,"Assassination",8
"3",1970,"Bombing/Explosion",276
"4",1970,"Facility/Infrastructure Attack",147
"5",1970,"Hijacking",2
"6",1970,"Hostage Taking (Kidnapping)",1
"7",1970,"Unarmed Assault",2
"8",1971,"Armed Assault",21
"9",1971,"Assassination",4
"10",1971,"Bombing/Explosion",142
"11",1971,"Facility/Infrastructure Attack",75
"12",1971,"Hijacking",1
"13",1971,"Hostage Taking (Barricade Incident)",1
"14",1971,"Hostage Taking (Kidnapping)",1
"15",1971,"Unknown",1
"16",1972,"Armed Assault",3
"17",1972,"Assassination",9
"18",1972,"Bombing/Explosion",33
"19",1972,"Facility/Infrastructure Attack",15
"20",1972,"Hijacking",2
"21",1972,"Hostage Taking (Barricade Incident)",2
"22",1972,"Hostage Taking (Kidnapping)",1
"23",1973,"Armed Assault",22
"24",1973,"Assassination",8
"25",1973,"Bombing/Explosion",19
"26",1973,"Facility/Infrastructure Attack",4
"27",1973,"Hostage Taking (Barricade Incident)",2
"28",1973,"Hostage Taking (Kidnapping)",3
"29",1974,"Armed Assault",14
"30",1974,"Assassination",3
"31",1974,"Bombing/Explosion",61
"32",1974,"Facility/Infrastructure Attack",11
"33",1974,"Hostage Taking (Kidnapping)",1
"34",1974,"Unarmed Assault",2
"35",1975,"Armed Assault",3
"36",1975,"Assassination",8
"37",1975,"Bombing/Explosion",131
"38",1975,"Facility/Infrastructure Attack",4
"39",1975,"Hostage Taking (Barricade Incident)",2
"40",1975,"Unknown",1
"41",1976,"Armed Assault",8
"42",1976,"Assassination",7
"43",1976,"Bombing/Explosion",75
"44",1976,"Facility/Infrastructure Attack",12
"45",1976,"Hijacking",1
"46",1976,"Unarmed Assault",2
"47",1977,"Armed Assault",7
"48",1977,"Assassination",8
"49",1977,"Bombing/Explosion",80
"50",1977,"Facility/Infrastructure Attack",27
"51",1977,"Hostage Taking (Barricade Incident)",6
"52",1977,"Hostage Taking (Kidnapping)",1
"53",1978,"Armed Assault",8
"54",1978,"Assassination",4
"55",1978,"Bombing/Explosion",57
"56",1978,"Facility/Infrastructure Attack",12
"57",1978,"Hostage Taking (Barricade Incident)",4
"58",1978,"Hostage Taking (Kidnapping)",1
"59",1979,"Armed Assault",10
"60",1979,"Assassination",8
"61",1979,"Bombing/Explosion",42
"62",1979,"Facility/Infrastructure Attack",5
"63",1979,"Hijacking",1
"64",1979,"Hostage Taking (Barricade Incident)",1
"65",1979,"Hostage Taking (Kidnapping)",1
"66",1979,"Unknown",1
"67",1980,"Armed Assault",14
"68",1980,"Assassination",8
"69",1980,"Bombing/Explosion",30
"70",1980,"Facility/Infrastructure Attack",7
"71",1980,"Hijacking",1
"72",1980,"Hostage Taking (Barricade Incident)",2
"73",1980,"Hostage Taking (Kidnapping)",3
"74",1980,"Unknown",1
"75",1981,"Armed Assault",9
"76",1981,"Assassination",5
