"","Year","State","attacks"
"1",1970,"Alabama",2
"2",1970,"Arizona",2
"3",1970,"California",98
"4",1970,"Colorado",13
"5",1970,"Connecticut",7
"6",1970,"District of Columbia",12
"7",1970,"Florida",13
"8",1970,"Georgia",3
"9",1970,"Idaho",1
"10",1970,"Illinois",32
"11",1970,"Indiana",1
"12",1970,"Iowa",8
"13",1970,"Kansas",4
"14",1970,"Louisiana",5
"15",1970,"Maryland",10
"16",1970,"Massachusetts",13
"17",1970,"Michigan",13
"18",1970,"Minnesota",7
"19",1970,"Mississippi",3
"20",1970,"Missouri",12
"21",1970,"Montana",1
"22",1970,"Nebraska",10
"23",1970,"New Jersey",4
"24",1970,"New Mexico",1
"25",1970,"New York",86
"26",1970,"North Carolina",8
"27",1970,"Ohio",9
"28",1970,"Oklahoma",1
"29",1970,"Oregon",11
"30",1970,"Pennsylvania",5
"31",1970,"Puerto Rico",17
"32",1970,"Tennessee",2
"33",1970,"Texas",8
"34",1970,"Utah",1
"35",1970,"Washington",20
"36",1970,"West Virginia",1
"37",1970,"Wisconsin",20
"38",1971,"Arizona",1
"39",1971,"California",115
"40",1971,"Colorado",2
"41",1971,"District of Columbia",2
"42",1971,"Florida",6
"43",1971,"Georgia",7
"44",1971,"Hawaii",2
"45",1971,"Idaho",1
"46",1971,"Illinois",3
"47",1971,"Indiana",1
"48",1971,"Iowa",1
"49",1971,"Kansas",1
"50",1971,"Maryland",2
"51",1971,"Massachusetts",7
"52",1971,"Michigan",4
"53",1971,"Minnesota",2
"54",1971,"Missouri",2
"55",1971,"Nevada",1
"56",1971,"New Jersey",9
"57",1971,"New York",43
"58",1971,"North Carolina",5
"59",1971,"Ohio",5
"60",1971,"Oklahoma",3
"61",1971,"Oregon",2
"62",1971,"Pennsylvania",2
"63",1971,"Puerto Rico",10
"64",1971,"Rhode Island",1
"65",1971,"Texas",5
"66",1971,"Vermont",1
"67",1972,"California",16
"68",1972,"District of Columbia",2
"69",1972,"Florida",3
"70",1972,"Illinois",3
"71",1972,"Louisiana",1
"72",1972,"Mississippi",1
"73",1972,"New Hampshire",1
"74",1972,"New Jersey",1
"75",1972,"New York",32
"76",1972,"Puerto Rico",2
"77",1972,"Texas",1
"78",1972,"Virginia",1
"79",1972,"Washington",1
"80",1973,"Alabama",1
"81",1973,"California",14
"82",1973,"Colorado",1
"83",1973,"District of Columbia",4
"84",1973,"Florida",1
"85",1973,"Illinois",1
"86",1973,"Louisiana",2
"87",1973,"Maryland",1
"88",1973,"New Jersey",4
"89",1973,"New York",23
"90",1973,"Puerto Rico",4
"91",1973,"South Dakota",1
"92",1973,"Wisconsin",1
"93",1974,"California",30
"94",1974,"Colorado",1
"95",1974,"Connecticut",1
"96",1974,"District of Columbia",5
"97",1974,"Florida",7
"98",1974,"Illinois",2
"99",1974,"Maryland",2
"100",1974,"New Jersey",1
"101",1974,"New York",20
"102",1974,"Oregon",1
"103",1974,"Pennsylvania",3
"104",1974,"Puerto Rico",19
"105",1975,"Arizona",1
"106",1975,"California",56
"107",1975,"Colorado",5
"108",1975,"Connecticut",1
"109",1975,"District of Columbia",6
"110",1975,"Florida",21
"111",1975,"Illinois",7
"112",1975,"Maine",2
"113",1975,"Massachusetts",1
"114",1975,"New Jersey",1
"115",1975,"New York",22
"116",1975,"Ohio",3
"117",1975,"Puerto Rico",8
"118",1975,"South Dakota",5
"119",1975,"Tennessee",1
"120",1975,"Utah",1
"121",1975,"Washington",8
"122",1976,"Arizona",1
"123",1976,"California",25
"124",1976,"District of Columbia",5
"125",1976,"Florida",6
"126",1976,"Illinois",6
"127",1976,"Kentucky",1
"128",1976,"Maine",1
"129",1976,"Maryland",3
"130",1976,"Massachusetts",7
"131",1976,"New Hampshire",1
"132",1976,"New Jersey",1
"133",1976,"New York",44
"134",1976,"Pennsylvania",1
"135",1976,"Puerto Rico",1
"136",1976,"Unknown",1
"137",1976,"Washington",1
"138",1977,"California",33
"139",1977,"District of Columbia",6
"140",1977,"Florida",9
"141",1977,"Illinois",5
"142",1977,"Maryland",1
"143",1977,"Massachusetts",1
"144",1977,"Minnesota",1
"145",1977,"Missouri",1
"146",1977,"Nebraska",1
"147",1977,"New Jersey",3
"148",1977,"New York",41
"149",1977,"Ohio",1
"150",1977,"Oregon",2
"151",1977,"Pennsylvania",1
"152",1977,"Puerto Rico",9
"153",1977,"Tennessee",1
"154",1977,"Vermont",1
"155",1977,"Washington",12
"156",1978,"Alabama",1
"157",1978,"Alaska",1
"158",1978,"California",6
"159",1978,"Colorado",1
"160",1978,"Delaware",1
"161",1978,"District of Columbia",1
"162",1978,"Florida",1
"163",1978,"Georgia",1
